settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
10,02-mar,31/03/2026,9-13,"4G,5A",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Ida
10,02-mar,31/03/2026,9-13,"4ASA,4B",Liceo Scientifico G. Galilei,Pescara,citizen science,2,Andreea
10,02-mar,31/03/2026,9-13,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Andreea
10,02-mar,31/03/2026,9-13,5E,Liceo Scientifico P. P. Pasolini,Potenza,presentazione manuali,1,Andreea
10,02-mar,31/03/2026,14-16,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,5,Ida
10,02-mar,31/03/2026,14-18,"3CI,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Anita
10,02-mar,31/03/2026,14-18,"4BNO,5DNO",Lic. Scientifico Bafile,L'Aquila,orientamento e competenze,1,Anita
10,02-mar,31/03/2026,14.30-18.30,3A,Liceo Scientifico e Linguistico M.Curie,Giulianova,orientamento e competenze,2,Anita
10,02-mar,31/03/2026,15-17,5ALSA,IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,1,Margherita
10,02-mar,31/03/2026,15-17,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Anita
10,02-mar,31/03/2026,15-17,"4C,4CSA",Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Anita
10,02-mar,31/03/2026,15-19,"3A,3C",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Ida
10,02-mar,31/03/2026,15.30-17.30,"3E,5C",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Ida
10,03-mer,01/04/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,2,Ida
10,03-mer,01/04/2026,10-12,"3F,3G",Liceo Scientifico Einstein,Teramo,citizen science,1,Ida
10,03-mer,01/04/2026,9-13,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Anita
10,03-mer,01/04/2026,14-16,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,2,Ida
10,03-mer,01/04/2026,14-16,4MA,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,1,Ida
10,03-mer,01/04/2026,14-16,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,1,Andreea
10,03-mer,01/04/2026,14-18,"3BLSA,4ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Anita
10,03-mer,01/04/2026,14.30-18.30,"3C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Ida
10,03-mer,01/04/2026,15-17,5AS,Liceo Pascal,Pompei,citizen science,4,Anita
10,03-mer,01/04/2026,15-19,"4A,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Ida
11,01-lun,13/04/2026,9-11,"5B,5C",IIS. E. Mattei,Vasto,sensibilizzazione discriminazioni di genere,2,Andreea
11,01-lun,13/04/2026,10-12,4GL,IIS PeanoRosa,Nereto,citizen science,3,Ida
11,01-lun,13/04/2026,14-16,"3F,3G",Liceo Scientifico Einstein,Teramo,citizen science,2,Anita
11,01-lun,13/04/2026,14-18,"4AS,4AS-SAA",Liceo Pascal,Pompei,citizen science,2,Anita
11,02-mar,14/04/2026,9-13,"4BS,4BU",Liceo Pascal,Pompei,citizen science,4,Andreea
11,02-mar,14/04/2026,9-13,"4A,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Ida
11,02-mar,14/04/2026,9-13,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Andreea
11,02-mar,14/04/2026,14-16,"4D,5G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Ida
11,02-mar,14/04/2026,14-18,"4CU,5BS",Liceo Pascal,Pompei,citizen science,2,Anita
11,02-mar,14/04/2026,14.30-16.30,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,2,Anita
11,03-mer,15/04/2026,9-11,"5H,5O",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Ida
11,03-mer,15/04/2026,10-12,"3O,4C",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Ida
11,03-mer,15/04/2026,14-16,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,3,Ida
11,03-mer,15/04/2026,15-19,"3E,5C",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,2,Andreea
11,04-gio,16/04/2026,11-13,"3A,3C",IIS. E. Mattei,Vasto,citizen science,3,Margherita
