settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
4,01-lun,16/02/2026,9-13,"4AS,4BU",Liceo Pascal,Pompei,citizen science,2,Anita
4,01-lun,16/02/2026,9-13,4AS-SAA,Liceo Pascal,Pompei,citizen science,2,Ida
4,01-lun,16/02/2026,9-13,3A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
4,01-lun,16/02/2026,9-13,4A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Ida
4,01-lun,16/02/2026,14-18,4BNO,Lic. Scientifico Bafile,L'Aquila,sensibilizzazione discriminazioni di genere,1,Ida
4,01-lun,16/02/2026,14-18,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,1,Anita
4,01-lun,16/02/2026,14.30-16.30,5E,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Ida
4,01-lun,16/02/2026,15-17,4CU,Liceo Pascal,Pompei,citizen science,1,Margherita
4,01-lun,16/02/2026,15-17,4ASA,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Andreea
4,01-lun,16/02/2026,15-17,4CSA,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
4,01-lun,16/02/2026,15-19,3C,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Andreea
4,01-lun,16/02/2026,15.30-17.30,4C,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Anita
4,01-lun,16/02/2026,15.30-17.30,5C,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Andreea
4,02-mar,17/02/2026,8-10,"3BLSA,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Ida
4,02-mar,17/02/2026,8-10,"4B,5A",IIS Fermi,Sulmona,orientamento e competenze,2,Andreea
4,02-mar,17/02/2026,8-10,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,3,Anita
4,02-mar,17/02/2026,8-10,4MA,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,2,Ida
4,02-mar,17/02/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,4,Anita
4,02-mar,17/02/2026,8-10,4B,IIS. E. Mattei,Vasto,citizen science,1,Anita
4,02-mar,17/02/2026,8-10,"3O,5F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Anita
4,02-mar,17/02/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Ida
4,02-mar,17/02/2026,10-12,4GL,IIS PeanoRosa,Nereto,citizen science,2,Ida
4,02-mar,17/02/2026,10-12,3C,IIS. E. Mattei,Vasto,citizen science,2,Ida
4,02-mar,17/02/2026,10-12,4C,IIS. E. Mattei,Vasto,citizen science,2,Anita
4,02-mar,17/02/2026,10-12,3F,Liceo Scientifico Einstein,Teramo,citizen science,3,Ida
4,02-mar,17/02/2026,10-12,"3B,3M",Liceo Scientifico Vitruvio Pollione,Avezzano,presentazione manuali,1,Anita
4,02-mar,17/02/2026,15-17,5C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Anita
4,02-mar,17/02/2026,15-19,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Ida
4,03-mer,18/02/2026,8-10,"5I,5P",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Ida
4,03-mer,18/02/2026,8-10,3C,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,4,Anita
4,03-mer,18/02/2026,10-12,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,1,Anita
4,03-mer,18/02/2026,14-16,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Anita
4,03-mer,18/02/2026,14-18,5AS,Liceo Pascal,Pompei,citizen science,3,Ida
4,03-mer,18/02/2026,15-17,4BS,Liceo Pascal,Pompei,citizen science,2,Anita
4,03-mer,18/02/2026,15-17,"4DS,5BS",Liceo Pascal,Pompei,citizen science,3,Ida
4,03-mer,18/02/2026,15-19,"5AM,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Andreea
4,03-mer,18/02/2026,15.30-17.30,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Anita
4,04-gio,19/02/2026,9-13,4C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Ida
4,05-ven,20/02/2026,9-13,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Ida
5,01-lun,23/02/2026,8-10,"3BLSA,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Andreea
5,01-lun,23/02/2026,8-10,"4ALSA,5ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Anita
5,01-lun,23/02/2026,8-10,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,2,Ida
5,01-lun,23/02/2026,8-10,3GL,IIS PeanoRosa,Nereto,citizen science,2,Anita
5,01-lun,23/02/2026,8-10,3F,Liceo Scientifico Einstein,Teramo,citizen science,4,Ida
5,01-lun,23/02/2026,8-10,4D,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Andreea
5,01-lun,23/02/2026,8-10,"5D,5O",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Ida
5,01-lun,23/02/2026,8-10,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,4,Anita
