classe_id,classe_nome,scuola_nome,laboratorio_id,laboratorio_nome,incontro_num,formatrice_id,formatrice_nome,settimana,giorno_num,giorno_nome,fascia_num,fascia_nome,slot,data_ora,accorpata_con
51,5C,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,1,4,Margherita,1,1,Martedì,2,Mattino2,74,03/02/2026 11:00-13:00,3DSA
31,4CU,Liceo Pascal,4,citizen science,3,3,Ida,1,1,Martedì,3,Pomeriggio,75,03/02/2026 14:00-16:00,5BS
33,5BS,Liceo Pascal,4,citizen science,3,3,Ida,1,1,Martedì,3,Pomeriggio,75,03/02/2026 14:00-16:00,4CU
55,4F,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2,3,Ida,1,2,Mercoledì,1,Mattino1,85,04/02/2026 09:00-11:00,
59,5D,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2,4,Margherita,1,2,Mercoledì,1,Mattino1,85,04/02/2026 09:00-11:00,5I
63,5I,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2,4,Margherita,1,2,Mercoledì,1,Mattino1,85,04/02/2026 09:00-11:00,5D
68,3A,Liceo Scientifico e Linguistico M.Curie,5,orientamento e competenze,1,2,Andreea,1,2,Mercoledì,1,Mattino1,85,04/02/2026 09:00-11:00,
78,5AM,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1,1,Anita,1,2,Mercoledì,1,Mattino1,85,04/02/2026 09:00-11:00,5E
81,5E,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1,1,Anita,1,2,Mercoledì,1,Mattino1,85,04/02/2026 09:00-11:00,5AM
8,5DNO,Lic. Scientifico Bafile,4,citizen science,4,1,Anita,1,2,Mercoledì,2,Mattino2,86,04/02/2026 11:00-13:00,
22,3CL,IIS PeanoRosa,4,citizen science,1,4,Margherita,1,2,Mercoledì,2,Mattino2,86,04/02/2026 11:00-13:00,4GL
23,4GL,IIS PeanoRosa,4,citizen science,1,4,Margherita,1,2,Mercoledì,2,Mattino2,86,04/02/2026 11:00-13:00,3CL
57,4H,Liceo Scientifico Leonardo da Vinci,4,citizen science,1,4,Margherita,1,2,Mercoledì,3,Pomeriggio,87,04/02/2026 14:00-16:00,5F
60,5F,Liceo Scientifico Leonardo da Vinci,4,citizen science,1,4,Margherita,1,2,Mercoledì,3,Pomeriggio,87,04/02/2026 14:00-16:00,4H
76,4A,Liceo Scientifico P. P. Pasolini,4,citizen science,1,1,Anita,1,2,Mercoledì,3,Pomeriggio,87,04/02/2026 14:00-16:00,4C
77,4C,Liceo Scientifico P. P. Pasolini,4,citizen science,1,1,Anita,1,2,Mercoledì,3,Pomeriggio,87,04/02/2026 14:00-16:00,4A
26,3ESA,Liceo Pascal,8,presentazione manuali,1,1,Anita,1,3,Giovedì,1,Mattino1,97,05/02/2026 09:00-11:00,4BU
30,4BU,Liceo Pascal,8,presentazione manuali,1,1,Anita,1,3,Giovedì,1,Mattino1,97,05/02/2026 09:00-11:00,3ESA
9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,1,3,Ida,1,5,Sabato,1,Mattino1,121,07/02/2026 09:00-11:00,5ALSA
58,4O,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2,4,Margherita,1,5,Sabato,1,Mattino1,121,07/02/2026 09:00-11:00,5O
73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,2,2,Andreea,1,5,Sabato,1,Mattino1,121,07/02/2026 09:00-11:00,5D
36,3F,Liceo Scientifico Einstein,8,presentazione manuali,1,3,Ida,1,5,Sabato,2,Mattino2,122,07/02/2026 11:00-13:00,4G
40,4G,Liceo Scientifico Einstein,8,presentazione manuali,1,3,Ida,1,5,Sabato,2,Mattino2,122,07/02/2026 11:00-13:00,3F
47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,4,1,Anita,1,5,Sabato,2,Mattino2,122,07/02/2026 11:00-13:00,4H
50,4H,Liceo Scientifico G. Galilei,4,citizen science,4,1,Anita,1,5,Sabato,2,Mattino2,122,07/02/2026 11:00-13:00,4BSA
1,3A,IIS. E. Mattei,4,citizen science,4,1,Anita,1,5,Sabato,3,Pomeriggio,123,07/02/2026 14:00-16:00,4B
4,4C,IIS. E. Mattei,4,citizen science,3,3,Ida,1,5,Sabato,3,Pomeriggio,123,07/02/2026 14:00-16:00,3C
14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,1,3,Ida,2,0,Lunedì,1,Mattino1,121,09/02/2026 09:00-11:00,3BLSA
40,4G,Liceo Scientifico Einstein,5,orientamento e competenze,1,1,Anita,2,0,Lunedì,1,Mattino1,121,09/02/2026 09:00-11:00,5A
41,5A,Liceo Scientifico Einstein,5,orientamento e competenze,1,1,Anita,2,0,Lunedì,1,Mattino1,121,09/02/2026 09:00-11:00,4G
64,5O,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2,4,Margherita,2,0,Lunedì,1,Mattino1,121,09/02/2026 09:00-11:00,4O
80,5D,Liceo Scientifico P. P. Pasolini,4,citizen science,2,2,Andreea,2,0,Lunedì,1,Mattino1,121,09/02/2026 09:00-11:00,3A
11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,1,4,Margherita,2,0,Lunedì,2,Mattino2,122,09/02/2026 11:00-13:00,
47,4BSA,Liceo Scientifico G. Galilei,4,citizen science,3,2,Andreea,2,0,Lunedì,2,Mattino2,122,09/02/2026 11:00-13:00,4H
50,4H,Liceo Scientifico G. Galilei,4,citizen science,3,2,Andreea,2,0,Lunedì,2,Mattino2,122,09/02/2026 11:00-13:00,4BSA
2,3C,IIS. E. Mattei,4,citizen science,3,3,Ida,2,0,Lunedì,3,Pomeriggio,123,09/02/2026 14:00-16:00,4C
3,4B,IIS. E. Mattei,4,citizen science,4,1,Anita,2,0,Lunedì,3,Pomeriggio,123,09/02/2026 14:00-16:00,3A
29,4AS,Liceo Pascal,5,orientamento e competenze,2,4,Margherita,2,0,Lunedì,3,Pomeriggio,123,09/02/2026 14:00-16:00,4CU
31,4CU,Liceo Pascal,5,orientamento e competenze,2,4,Margherita,2,0,Lunedì,3,Pomeriggio,123,09/02/2026 14:00-16:00,4AS
78,5AM,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2,2,Andreea,2,0,Lunedì,3,Pomeriggio,123,09/02/2026 14:00-16:00,
28,4BS,Liceo Pascal,5,orientamento e competenze,2,3,Ida,2,1,Martedì,1,Mattino1,133,10/02/2026 09:00-11:00,4BU
30,4BU,Liceo Pascal,5,orientamento e competenze,2,3,Ida,2,1,Martedì,1,Mattino1,133,10/02/2026 09:00-11:00,4BS
71,5E,Liceo Scientifico e Linguistico M.Curie,8,presentazione manuali,1,1,Anita,2,1,Martedì,1,Mattino1,133,10/02/2026 09:00-11:00,
55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,2,1,Anita,2,1,Martedì,2,Mattino2,134,10/02/2026 11:00-13:00,5G
61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,2,1,Anita,2,1,Martedì,2,Mattino2,134,10/02/2026 11:00-13:00,4F
5,5B,IIS. E. Mattei,7,sensibilizzazione discriminazioni di genere,2,1,Anita,2,1,Martedì,3,Pomeriggio,135,10/02/2026 14:00-16:00,5C
6,5C,IIS. E. Mattei,7,sensibilizzazione discriminazioni di genere,2,1,Anita,2,1,Martedì,3,Pomeriggio,135,10/02/2026 14:00-16:00,5B
