settimana,classe_id,classe,scuola,lab_id,laboratorio,num_incontri_lab
13,86,5A,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1
2,87,5F,IIS Fermi,5,orientamento e competenze,2
4,87,5F,IIS Fermi,5,orientamento e competenze,2
12,87,5F,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1
5,15,3AtMb,IIS L.Da Vinci-De Giorgio,4,citizen science,5
9,15,3AtMb,IIS L.Da Vinci-De Giorgio,4,citizen science,5
10,15,3AtMb,IIS L.Da Vinci-De Giorgio,4,citizen science,5
11,15,3AtMb,IIS L.Da Vinci-De Giorgio,4,citizen science,5
12,15,3AtMb,IIS L.Da Vinci-De Giorgio,4,citizen science,5
13,15,3AtMb,IIS L.Da Vinci-De Giorgio,8,presentazione manuali,1
6,16,3InA,IIS L.Da Vinci-De Giorgio,4,citizen science,5
7,16,3InA,IIS L.Da Vinci-De Giorgio,4,citizen science,5
8,16,3InA,IIS L.Da Vinci-De Giorgio,8,presentazione manuali,1
12,16,3InA,IIS L.Da Vinci-De Giorgio,4,citizen science,5
14,16,3InA,IIS L.Da Vinci-De Giorgio,4,citizen science,5
15,16,3InA,IIS L.Da Vinci-De Giorgio,4,citizen science,5
1,17,4AtA,IIS L.Da Vinci-De Giorgio,8,presentazione manuali,1
1,18,4MA,IIS L.Da Vinci-De Giorgio,5,orientamento e competenze,2
3,18,4MA,IIS L.Da Vinci-De Giorgio,8,presentazione manuali,1
7,18,4MA,IIS L.Da Vinci-De Giorgio,5,orientamento e competenze,2
3,19,5AtIB,IIS L.Da Vinci-De Giorgio,7,sensibilizzazione discriminazioni di genere,2
4,19,5AtIB,IIS L.Da Vinci-De Giorgio,5,orientamento e competenze,2
8,19,5AtIB,IIS L.Da Vinci-De Giorgio,5,orientamento e competenze,2
9,19,5AtIB,IIS L.Da Vinci-De Giorgio,8,presentazione manuali,1
10,19,5AtIB,IIS L.Da Vinci-De Giorgio,7,sensibilizzazione discriminazioni di genere,2
1,20,5MBCH,IIS L.Da Vinci-De Giorgio,8,presentazione manuali,1
1,22,3CL,IIS PeanoRosa,4,citizen science,5
6,22,3CL,IIS PeanoRosa,4,citizen science,5
8,22,3CL,IIS PeanoRosa,4,citizen science,5
9,22,3CL,IIS PeanoRosa,8,presentazione manuali,1
14,22,3CL,IIS PeanoRosa,4,citizen science,5
15,22,3CL,IIS PeanoRosa,4,citizen science,5
1,21,3GL,IIS PeanoRosa,4,citizen science,5
2,21,3GL,IIS PeanoRosa,8,presentazione manuali,1
4,21,3GL,IIS PeanoRosa,4,citizen science,5
6,21,3GL,IIS PeanoRosa,4,citizen science,5
7,21,3GL,IIS PeanoRosa,4,citizen science,5
13,21,3GL,IIS PeanoRosa,4,citizen science,5
2,23,4GL,IIS PeanoRosa,4,citizen science,5
6,23,4GL,IIS PeanoRosa,5,orientamento e competenze,2
7,23,4GL,IIS PeanoRosa,5,orientamento e competenze,2
8,23,4GL,IIS PeanoRosa,4,citizen science,5
9,23,4GL,IIS PeanoRosa,8,presentazione manuali,1
10,23,4GL,IIS PeanoRosa,4,citizen science,5
13,23,4GL,IIS PeanoRosa,4,citizen science,5
15,23,4GL,IIS PeanoRosa,4,citizen science,5
3,24,5AL,IIS PeanoRosa,4,citizen science,5
4,24,5AL,IIS PeanoRosa,5,orientamento e competenze,2
5,24,5AL,IIS PeanoRosa,8,presentazione manuali,1
6,24,5AL,IIS PeanoRosa,4,citizen science,5
7,24,5AL,IIS PeanoRosa,5,orientamento e competenze,2
8,24,5AL,IIS PeanoRosa,4,citizen science,5
10,24,5AL,IIS PeanoRosa,4,citizen science,5
12,24,5AL,IIS PeanoRosa,4,citizen science,5
1,1,3A,IIS. E. Mattei,8,presentazione manuali,1
3,1,3A,IIS. E. Mattei,4,citizen science,5
4,1,3A,IIS. E. Mattei,4,citizen science,5
6,1,3A,IIS. E. Mattei,4,citizen science,5
8,1,3A,IIS. E. Mattei,4,citizen science,5
9,1,3A,IIS. E. Mattei,4,citizen science,5
11,1,3A,IIS. E. Mattei,5,orientamento e competenze,2
12,1,3A,IIS. E. Mattei,5,orientamento e competenze,2
1,2,3C,IIS. E. Mattei,8,presentazione manuali,1
6,2,3C,IIS. E. Mattei,4,citizen science,5
7,2,3C,IIS. E. Mattei,4,citizen science,5
10,2,3C,IIS. E. Mattei,5,orientamento e competenze,2
11,2,3C,IIS. E. Mattei,4,citizen science,5
12,2,3C,IIS. E. Mattei,4,citizen science,5
14,2,3C,IIS. E. Mattei,4,citizen science,5
15,2,3C,IIS. E. Mattei,5,orientamento e competenze,2
1,3,4B,IIS. E. Mattei,8,presentazione manuali,1
3,3,4B,IIS. E. Mattei,4,citizen science,5
4,3,4B,IIS. E. Mattei,5,orientamento e competenze,2
5,3,4B,IIS. E. Mattei,4,citizen science,5
6,3,4B,IIS. E. Mattei,4,citizen science,5
11,3,4B,IIS. E. Mattei,5,orientamento e competenze,2
13,3,4B,IIS. E. Mattei,4,citizen science,5
15,3,4B,IIS. E. Mattei,4,citizen science,5
4,4,4C,IIS. E. Mattei,4,citizen science,5
