Settimana,Giorno,Fascia Oraria,Data e Ora,Classi,N. Classi,Scuola,Laboratorio,Formatrice,Accorpamento
2,Lunedì,Pomeriggio,09/02/2026 14:00-16:00,"3AS, 3ESA",2,Liceo Pascal,orientamento e competenze,Margherita,Sì
2,Lunedì,Pomeriggio,09/02/2026 14:00-16:00,3A,1,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Andreea,No
2,Martedì,Mattino1,10/02/2026 09:00-11:00,"4BSA, 4C, 4CSA, 4H",4,Liceo Scientifico G. Galilei,presentazione manuali,Anita,Sì
2,Martedì,Mattino2,10/02/2026 11:00-13:00,"5B, 5C",2,IIS. E. Mattei,orientamento e competenze,Anita,Sì
2,Martedì,Mattino2,10/02/2026 11:00-13:00,"4O, 5H",2,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Andreea,Sì
2,Martedì,Pomeriggio,10/02/2026 14:00-16:00,"4AS, 4DS",2,Liceo Pascal,presentazione manuali,Anita,Sì
2,Martedì,Pomeriggio,10/02/2026 14:00-16:00,"4BU, 4CU",2,Liceo Pascal,citizen science,Ida,Sì
2,Mercoledì,Mattino1,11/02/2026 09:00-11:00,"5A, 5G",2,Liceo Scientifico Einstein,orientamento e competenze,Anita,Sì
2,Mercoledì,Mattino1,11/02/2026 09:00-11:00,"5A, 5F",2,IIS Fermi,orientamento e competenze,Ida,Sì
2,Mercoledì,Mattino2,11/02/2026 11:00-13:00,"4B, 4D",2,Liceo Scientifico Einstein,orientamento e competenze,Ida,Sì
2,Mercoledì,Mattino2,11/02/2026 11:00-13:00,"3B, 3M",2,Liceo Scientifico Vitruvio Pollione,orientamento e competenze,Anita,Sì
2,Giovedì,Mattino1,12/02/2026 09:00-11:00,"3O, 4C",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Anita,Sì
2,Giovedì,Mattino2,12/02/2026 11:00-13:00,"5D, 5I",2,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Anita,Sì
2,Giovedì,Mattino2,12/02/2026 11:00-13:00,"5O, 5P",2,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Ida,Sì
2,Giovedì,Mattino2,12/02/2026 11:00-13:00,3A,1,Liceo Scientifico e Linguistico M.Curie,orientamento e competenze,Andreea,No
2,Giovedì,Pomeriggio,12/02/2026 14:00-16:00,"4A, 4C",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
2,Venerdì,Mattino1,13/02/2026 09:00-11:00,"4GL, 5AL",2,IIS PeanoRosa,orientamento e competenze,Anita,Sì
2,Venerdì,Mattino1,13/02/2026 09:00-11:00,"3DSA, 5C",2,Liceo Scientifico G. Galilei,orientamento e competenze,Andreea,Sì
2,Venerdì,Mattino1,13/02/2026 09:00-11:00,"3F, 4A",2,IIS Fermi,orientamento e competenze,Ida,Sì
2,Venerdì,Mattino2,13/02/2026 11:00-13:00,"4D, 4G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
2,Venerdì,Mattino2,13/02/2026 11:00-13:00,"5F, 5G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
2,Venerdì,Mattino2,13/02/2026 11:00-13:00,"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Ida,Sì
2,Venerdì,Pomeriggio,13/02/2026 14:00-16:00,"4AS-SAA, 4BS, 5AS, 5BS",4,Liceo Pascal,presentazione manuali,Anita,Sì
3,Lunedì,Mattino2,16/02/2026 11:00-13:00,"4CI, 5ALSA",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
3,Lunedì,Mattino2,16/02/2026 11:00-13:00,"3O, 4F",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
3,Lunedì,Mattino2,16/02/2026 11:00-13:00,"4G, 4H",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
3,Martedì,Mattino1,17/02/2026 09:00-11:00,"4D, 5F",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
3,Martedì,Mattino2,17/02/2026 11:00-13:00,"4GL, 5AL",2,IIS PeanoRosa,presentazione manuali,Ida,Sì
3,Martedì,Mattino2,17/02/2026 11:00-13:00,"4D, 5G",2,Liceo Scientifico Einstein,presentazione manuali,Andreea,Sì
3,Martedì,Mattino2,17/02/2026 11:00-13:00,"4O, 5O",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Anita,Sì
3,Martedì,Pomeriggio,17/02/2026 14:00-16:00,"4A, 5AM",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
3,Mercoledì,Mattino1,18/02/2026 09:00-11:00,"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Anita,Sì
3,Mercoledì,Mattino2,18/02/2026 11:00-13:00,"3BLSA, 4ALSA",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
3,Mercoledì,Mattino2,18/02/2026 11:00-13:00,"4C, 5G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
3,Mercoledì,Pomeriggio,18/02/2026 14:00-16:00,"4AS-SAA, 4DS",2,Liceo Pascal,citizen science,Anita,Sì
3,Mercoledì,Pomeriggio,18/02/2026 14:00-16:00,"4BU, 4CU",2,Liceo Pascal,presentazione manuali,Ida,Sì
3,Mercoledì,Pomeriggio,18/02/2026 14:00-16:00,"3C, 3E",2,Liceo Scientifico P. P. Pasolini,presentazione manuali,Andreea,Sì
3,Giovedì,Mattino1,19/02/2026 09:00-11:00,"4B, 4G",2,Liceo Scientifico Einstein,presentazione manuali,Ida,Sì
3,Giovedì,Mattino1,19/02/2026 09:00-11:00,"3DSA, 5C",2,Liceo Scientifico G. Galilei,presentazione manuali,Andreea,Sì
3,Giovedì,Mattino1,19/02/2026 09:00-11:00,"5I, 5P",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Anita,Sì
3,Giovedì,Mattino2,19/02/2026 11:00-13:00,"4B, 5C",2,IIS. E. Mattei,presentazione manuali,Anita,Sì
3,Giovedì,Mattino2,19/02/2026 11:00-13:00,3I,1,Liceo Scientifico G. Galilei,presentazione manuali,Andreea,No
3,Giovedì,Pomeriggio,19/02/2026 14:00-16:00,5DNO,1,Lic. Scientifico Bafile,citizen science,Anita,No
3,Giovedì,Pomeriggio,19/02/2026 14:00-16:00,"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Andreea,Sì
3,Venerdì,Mattino1,20/02/2026 09:00-11:00,"3A, 3C",2,IIS. E. Mattei,citizen science,Andreea,Sì
3,Venerdì,Mattino1,20/02/2026 09:00-11:00,"4C, 5B",2,IIS. E. Mattei,presentazione manuali,Anita,Sì
3,Venerdì,Mattino1,20/02/2026 09:00-11:00,"5D, 5H",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Ida,Sì
3,Venerdì,Mattino2,20/02/2026 11:00-13:00,"4AtA, 4MA",2,IIS L.Da Vinci-De Giorgio,presentazione manuali,Ida,Sì
3,Venerdì,Mattino2,20/02/2026 11:00-13:00,"3D, 5A",2,Liceo Scientifico Einstein,presentazione manuali,Anita,Sì
3,Venerdì,Pomeriggio,20/02/2026 14:00-16:00,"3AS, 3ESA",2,Liceo Pascal,presentazione manuali,Margherita,Sì
3,Venerdì,Pomeriggio,20/02/2026 14:00-16:00,"4AS, 4BS",2,Liceo Pascal,citizen science,Anita,Sì
3,Venerdì,Pomeriggio,20/02/2026 14:00-16:00,"5AS, 5BS",2,Liceo Pascal,citizen science,Andreea,Sì
3,Sabato,Mattino1,21/02/2026 09:00-11:00,"3B, 3M",2,Liceo Scientifico Vitruvio Pollione,presentazione manuali,Margherita,Sì
4,Lunedì,Mattino1,23/02/2026 09:00-11:00,"3CI, 4CI",2,IIS Amedeo D'Aosta,presentazione manuali,Ida,Sì
